ingredient,fodmap_level,fodmap_group,category
organic garlic,HIGH,Monash-derived,vegetable
fresh garlic,HIGH,Monash-derived,vegetable
dried garlic,HIGH,Monash-derived,vegetable
Garlic,HIGH,Monash-derived,vegetable
garlic,HIGH,Monash-derived,vegetable
raw garlic,HIGH,Monash-derived,vegetable
fresh onion,HIGH,Monash-derived,vegetable
Onion,HIGH,Monash-derived,vegetable
dried onion,HIGH,Monash-derived,vegetable
onion,HIGH,Monash-derived,vegetable
organic onion,HIGH,Monash-derived,vegetable
raw onion,HIGH,Monash-derived,vegetable
raw shallot,HIGH,Monash-derived,vegetable
shallot,HIGH,Monash-derived,vegetable
Shallot,HIGH,Monash-derived,vegetable
dried shallot,HIGH,Monash-derived,vegetable
organic shallot,HIGH,Monash-derived,vegetable
fresh shallot,HIGH,Monash-derived,vegetable
raw leek,HIGH,Monash-derived,vegetable
Leek,HIGH,Monash-derived,vegetable
organic leek,HIGH,Monash-derived,vegetable
dried leek,HIGH,Monash-derived,vegetable
leek,HIGH,Monash-derived,vegetable
fresh leek,HIGH,Monash-derived,vegetable
dried cauliflower,HIGH,Monash-derived,vegetable
fresh cauliflower,HIGH,Monash-derived,vegetable
cauliflower,HIGH,Monash-derived,vegetable
Cauliflower,HIGH,Monash-derived,vegetable
raw cauliflower,HIGH,Monash-derived,vegetable
organic cauliflower,HIGH,Monash-derived,vegetable
dried artichoke,HIGH,Monash-derived,vegetable
Artichoke,HIGH,Monash-derived,vegetable
organic artichoke,HIGH,Monash-derived,vegetable
raw artichoke,HIGH,Monash-derived,vegetable
fresh artichoke,HIGH,Monash-derived,vegetable
artichoke,HIGH,Monash-derived,vegetable
Asparagus,HIGH,Monash-derived,vegetable
fresh asparagus,HIGH,Monash-derived,vegetable
organic asparagus,HIGH,Monash-derived,vegetable
asparagus,HIGH,Monash-derived,vegetable
raw asparagus,HIGH,Monash-derived,vegetable
dried asparagus,HIGH,Monash-derived,vegetable
mushroom,HIGH,Monash-derived,vegetable
organic mushroom,HIGH,Monash-derived,vegetable
raw mushroom,HIGH,Monash-derived,vegetable
fresh mushroom,HIGH,Monash-derived,vegetable
dried mushroom,HIGH,Monash-derived,vegetable
Mushroom,HIGH,Monash-derived,vegetable
snow peas,HIGH,Monash-derived,vegetable
Snow Peas,HIGH,Monash-derived,vegetable
raw beetroot,HIGH,Monash-derived,vegetable
fresh beetroot,HIGH,Monash-derived,vegetable
organic beetroot,HIGH,Monash-derived,vegetable
beetroot,HIGH,Monash-derived,vegetable
Beetroot,HIGH,Monash-derived,vegetable
dried beetroot,HIGH,Monash-derived,vegetable
fennel,HIGH,Monash-derived,vegetable
dried fennel,HIGH,Monash-derived,vegetable
fresh fennel,HIGH,Monash-derived,vegetable
raw fennel,HIGH,Monash-derived,vegetable
organic fennel,HIGH,Monash-derived,vegetable
Fennel,HIGH,Monash-derived,vegetable
savoy cabbage,HIGH,Monash-derived,vegetable
Savoy Cabbage,HIGH,Monash-derived,vegetable
brussels sprouts,HIGH,Monash-derived,vegetable
Brussels Sprouts,HIGH,Monash-derived,vegetable
spring onion,HIGH,Monash-derived,vegetable
Spring Onion,HIGH,Monash-derived,vegetable
fresh scallion,HIGH,Monash-derived,vegetable
scallion,HIGH,Monash-derived,vegetable
dried scallion,HIGH,Monash-derived,vegetable
