recipe_name,recipe_url,servings_text,cook_time_text,index_page,description,recipe_yield,prep_time,cook_time,total_time,ingredients,instructions,calories,protein_g,carbs_g,fat_g,fiber_g,sugar_g,is_low_fodmap,parse_status
Rice Pudding,https://www.monashfodmap.com/recipe/rice-pudding/,Serves: 4,Cook: 30 minutes,1,This dish is simple to make and tastes delicious!!,4,PT5M,PT30M,PT35M,"Lactose-free milk | Rice (arborio, white or basmati) | tbsp sugar | Topping suggestions; Ground cinnamon, walnuts, maple syrup, grated dark chocolate, blueberries, strawberries, banana, passionfruit...","Pour milk into a medium-large sized saucepan. | Place saucepan onto a stove top and allow lactose-free milk to almost reach boiling point. Then reduce the heat, add in the rice and allow to simmer. | Add in 1 Tbsp of raw sugar to the milk-rice mixture and stir through. Continue stirring frequently for approximately 20 minutes until the rice is tender and the mixture has thickened to your liking. If mixture is too thick you can add more milk. If mixture is too runny continue cooking – it will thicken up. | Keep stirring frequently so that the milk doesn’t burn and to avoid rice pudding sticking to the bottom. | Once cooked, remove rice pudding from saucepan. | Serve it hot or cold with your choice of toppings such as cinnamon, grated dark chocolate, maple syrup, blueberries and strawberries, banana and passionfruit, or add some orange or lemon zest during cooking for a citrus version",1155.0,10.0,40.2,9.0,0.1,20.5,True,ok
Rice Paper Dumplings,https://www.monashfodmap.com/recipe/rice-paper-dumplings/,Serves: 1 (6 dumplings),Cook: 5 minutes,1,"Crispy, chewy parcels of goodness! These rice paper dumplings are easy to make and taste fantastic",1 (6 dumplings),PT15M,PT5M,PT20M,"Firm tofu, cut into small cubes | Chinese cabbage (wombok), shredded | 1/2 carrot, grated | Oyster mushrooms, finely chopped | Spring onion, green tops only | 1/2 tbsp sesame oil | 1/2 tbsp soy sauce | 1/2 tbsp minced ginger | 12 rice paper rounds | Vegetable oil for cooking | Soy sauce and rice wine vinegar to serve","Add the prepared tofu and vegetables into a bowl and stir to combine. | Add the soy sauce, sesame oil and ginger and stir | Heat a fry pan over medium heat and add filling, cook, stirring for 5 mins until wilted down | Prepare a plate with warm water and soak the rice paper round for 10 seconds or until soft. Place on a a board and spoon two tbsp of filling into the centre. Fold bringing the top flap down, then the right and left side towards the centre and bring the bottom flap upwards to seal. Repeat this process with a second rice paper round to make two layers to ensure it doesn&#x27;t break while cooking | Repeat with remaining rice paper and filling to make 6 dumplings | To pan fry: | Over medium-high heat, add enough oil to the fry pan to coat the bottom. Cook on each side until golden (about 3 minutes each) and crispy. Move to paper towel once cooked to drain excess oil. Serve with soy sauce and rice wine vinegar | To air fry: | Grease the dumplings with oil on both sides (we like to use a spray oil for a light coating). Place them in the air fryer. Set the air fryer on 200°C/400°F for 12-14 minutes (flip them halfway) or until crispy on the outside.",2029.0,15.2,24.82,34.3,7.62,5.1,True,ok
Chocolate Pavlova,https://www.monashfodmap.com/recipe/chocolate-pavlova/,Serves: 10,Cook: 1 hour 15 minutes,1,Make a Aussie classic even more delectable with the addition of chocolate!!,10,PT10M,PT75M,PT85M,"6 large egg white | Caster sugar | tbsp cocoa powder, sieved | 1 tsp balsamic vinegar | Dark chocolate, grated | Thickened cream, whipped | Chocolate and fruit of your choice to decorate, optional","Preheat the oven to 180°C/356°F | Beat the egg whites until stiff peaks form. Beat in the sugar, one spoonful at a time and continue beating until the mixture is stiff and shiny. Fold through the cocoa, vinegar and grated chocolate until just combined. | Line a baking tray with grease proof paper. Spread your mixture onto the paper in a 23cm diameter circle. Smooth the sides and top. Place in the oven and reduce temperature to 150°C/302°F. Bake for 1-1¼ hours. Turn the oven off when the pav is crisp on top and a little bit gooey in the middle. Open the oven door and let the pav cool completely inside.",1084.4,3.6,34.5,12.0,0.4,32.3,True,ok
Potato Salad with Green Beans & Mustard Vinaigrette,https://www.monashfodmap.com/recipe/potato-salad-green-beans-mustard-vinaigrette/,Serves: 4-6,Cook: 25 minutes,1,Looking for ways to boost prebiotics in your diet without FODMAPs? Try this delicious potato salad!,4-6,PT20M,PT25M,PT45M,"New/baby potatoes | 4 rashers lean bacon, sliced thinly | Green beans | tbsp chopped chives | tbsp chopped parsley | ¼ cup roasted walnuts | garlic infused olive oil | tbsp balsamic vinegar | 1 tsp wholegrain mustard | ½ tsp dijon mustard | 8 twists of black pepper","Slice potatoes in half or quarters (depending on size) and place in a large pot. Cover with cold water and bring to a boil. Turn down the heat to a slow boil and cook for 12 to 15 minutes - until fork tender. Drain and set aside to cool (ideally refrigerate overnight). | Trim green bean ends and cut green beans in half. | Steam/boil green beans for 3-4 minutes until just tender. Drain and set aside to cool. | Cook bacon in a small frying pan until crisp. Drain on paper towel to remove any excess fat. | Prepare vinaigrette by whisking together olive oil, balsamic vinegar, mustards and black pepper. | Finely slice chives and parsley and set aside. | In a large salad bowl combine potatoes, green beans, bacon, chives, parsley and walnuts. Dress salad with vinaigrette and toss to coat evenly. Refrigerate salad until ready to serve.",1005.0,7.7,13.7,16.5,5.6,2.8,True,ok
Three-coloured Rice Bowl,https://www.monashfodmap.com/recipe/three-coloured-rice-bowl/,Serves: 1,Cook: 20 minutes,1,"A quick, protein rich lunch or dinner option with Japanese inspired flavours",1,PT15M,PT20M,PT35M,"White rice, cooked | Chicken mince (ground chicken) | sake (Japanese rice wine) | white sugar | soy sauce | egg | white sugar | salt | spinach | soy sauce | sesame seeds","Beat the egg and mix with the seasonings from [B]. | Heat a frying pan, pour in the egg mixture, stir quickly to scramble, and remove to a plate. | Using the same frying pan, stir-fry the ground chicken. Once it starts to cook, add the pre-mixed seasonings from [A] and stir quickly. | Boil the spinach, cool it in water, cut it into 2 cm pieces, and squeeze out excess water. | Mix the spinach with the seasonings from [C]. | Serve rice in a bowl, then top with the ground chicken, scrambled eggs, and spinach.",2141.0,28.2,64.7,14.1,3.6,9.5,True,ok
Lotus Root Meatballs,https://www.monashfodmap.com/recipe/lotus-root-meatballs/,Serves: 2,Cook: 15 minutes,1,"A simple, Japanese inspired low FODMAP snack or lunch option!",2,PT25M,PT15M,PT40M,"Chicken mince (ground chicken) | Firm tofu | Lotus root, frozen | Carrot, finely grated | Spring onion / scallion (green tops only), finely chopped | egg | salt | sake (Japanese rice wine) | soy sauce | minced ginger | potato starch | sesame oil | water | sake (Japanese rice wine) | Mirin seasoning / aji-mirin | soy sauce | white sugar | potato starch","Combine the chicken mince, drained tofu, and ingredients from [A] in a bowl, and mix thoroughly. | Add potato starch, lotus root, and carrot, then mix further. | Divide the mixture into four portions and shape them into round patties. Heat sesame oil in a frying pan and cook the patties over medium heat until both sides are golden brown. | Add 2 teaspoons of water (not listed in ingredients), cover with a lid, and steam-cook on low heat for about 4 minutes or until cooked through. | Use a paper towel to remove any excess oil, then add the ingredients from [B] and simmer until the sauce coats the patties. | Plate the patties, garnish with green onion, and serve with an egg yolk on the side.",989.0,21.8,9.4,11.4,2.4,5.7,True,ok
Easy Salmon and Potato Gratin,https://www.monashfodmap.com/recipe/easy-salmon-and-potato-gratin/,Serves: 2,Cook: 15 minutes,1,A quick and easy low FODMAP lunch or dinner option with a Japanese twist!,2,PT5M,PT15M,PT20M,"White potatoes, peeled | Canned salmon, drained | creamed corn, canned | Japanese mayonnaise | almond milk | wholegrain Dijion mustard | dried oregano | Mozzarella cheese, shredded | Canola oil (as needed) | Salt, to season | Pepper, to season","Preheat the oven to 180°C (356°F). | Peel the potatoes and slice them into 3mm thick half-moon shapes. | In a large bowl, mix together all ingredients except the potatoes and shredded cheese. Add the sliced potatoes to the mixture and combine thoroughly, ensuring the potatoes are well coated. | Lightly grease a heat-resistant baking dish with oil. Transfer the potato mixture into the dish, spreading it evenly. Sprinkle the shredded pizza cheese over the top. | Place the dish in the preheated oven and bake at 180°C for approximately 13 minutes. Check for doneness by inserting a fork or skewer into the potatoes; they should be tender. Once the potatoes are soft and the cheese is melted and golden, remove from the oven. | Allow to cool slightly before serving. Enjoy your creamy salmon and potato gratin!",1249.0,17.4,16.2,17.8,2.0,1.5,True,ok
Chicken with Quinoa and Kiwi Salad,https://www.monashfodmap.com/recipe/chicken-with-quinoa-and-kiwi-salad/,Serves: 2,Cook: 15 minutes,1,A refreshingly sweet low FODMAP summer salad!,2,PT15M,PT15M,PT30M,"white quinoa | water | Chicken thigh, diced | iceberg lettuce | cherry tomatoes | green kiwifruit, peeled | wholegrain Dijion mustard | rice wine vinegar | perilla oil | Salt, to season | Black pepper, to season","Combine quinoa, water, and salt in a pot and bring it to a boil. Once boiling, reduce the heat to low and simmer for about 15 minutes. Drain the quinoa using a sieve and set it aside. | Lightly season the chicken thighs with salt and pepper. Heat a frying pan over medium heat and place the chicken skin-side down. Cover with a lid and cook until the skin is golden and crispy. Flip the chicken and cook until fully cooked through. Once done, let it cool. | Tear the lettuce into bite-sized pieces, cut the tomatoes into quarters, and dice the kiwi into 1cm cubes. | In a bowl, combine Dijon mustard and rice vinegar. Whisk thoroughly, then gradually add perilla oil while whisking until the mixture turns white and creamy. Season with salt and pepper to taste. | Mix the cooked quinoa, roasted chicken, prepared vegetables, and kiwi together. Toss with the dressing until everything is evenly coated. Serve and enjoy!",1026.0,17.2,18.0,10.7,4.0,10.2,True,ok
Turnip with Miso Meat Sauce,https://www.monashfodmap.com/recipe/turnip-with-miso-meat-sauce/,Serves: 3,Cook: 15 minutes,1,A delicious Japanese inspired recipe,3,PT10M,PT15M,PT25M,"Pork mince (ground pork) | White turnip, peeled | dried red chilli, sliced | minced ginger | sesame seeds | sake (Japanese rice wine) | miso paste | white sugar | soy sauce | water | rice bran oil | potato starch | water","Peel the turnips, leaving a small portion of the stems intact, and cut them into 6 wedges. | Heat rice bran oil in a frying pan, and cook the turnips until they develop a golden-brown color. Remove them and place them on a plate. | In the same frying pan, add the ground pork and stir-fry. Then add the chili pepper, ginger, and ingredients from [A], mixing well. Finally, add potato starch dissolved in water to thicken the sauce. | Pour the mixture from Step 3 over the turnips from Step 2. Serve and enjoy!",769.0,11.9,7.7,10.4,1.6,6.4,True,ok
Creamy Pumpkin & Sage Gnocchi,https://www.monashfodmap.com/recipe/creamy-pumpkin-sage-gnocchi/,Serves: 2,Cook: 25 minutes,1,Vegan and Low FODMAP Recipe Ideas by Melissa D&#x27;Elia (APD),2,PT5M,PT25M,PT30M,"2 cups Kent pumpkin, peeled | 1 tbsp garlic infused olive oil | 1 bunch fresh sage | Salt and pepper to taste (optional) | Extra-firm tofu, drained and crumbled | ¼ cup soy milk (soy protein) | 2 tbsp nutritional yeast | 2 tsp lemon juice | 2 heaped tbsp margarine/dairy free spread | Gluten free gnocchi","Preheat oven to 200°C/390°F and chop the pumpkin into small cubes. | Toss the pumpkin with garlic infused olive oil, fresh sage, salt and pepper, and roast for 25 minutes until tender and golden. | While pumpkin roasts, heat the garlic infused olive oil in a non-stick pan. Add crumbled tofu and pan-fry over medium heat for 6–8 minutes until golden and slightly crisp. Season with salt and pepper. Set aside. | In a blender, combine the roasted pumpkin, soy milk, nutritional yeast and lemon juice. Blend until smooth and creamy. Add more soy milk if needed to thin slightly. | In a large fry pan, melt 2 tbsp margarine/dairy free spread over medium heat. Add chopped sage and cook gently for 1-2 minutes until fragrant and slightly crisped. | In the meantime, cook gnocchi according to packet instructions. Drain and set aside. | To the pan, add the cooked gnocchi to the infused sage and combine. Add the crispy tofu and season with extra salt and pepper if desired. Stir fry until the gnocchi becomes crispy. | Add the creamy pumpkin sauce to the bottom of a plate as your base. Serve the gnocchi mixture on top. Top with fresh sage.",2646.0,27.0,64.0,32.0,10.0,7.0,True,ok
